name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
74L85.000,2,33,66,8,24,"[1, 8, 15]",16.5881,"[0.7762, 7.3746, 0.0728]",11410,7,1.4468203109457984
74L85.001,4,33,132,19,292,"[1, 19, 55, 92, 125]",86.5981,"[0.1129, 9.6572, 29.3181, 44.7094, 0.3296]",19881,21,3.371898459665974
74L85.002,4,33,132,16,290,"[1, 16, 55, 93, 125]",60.8423,"[0.0632, 6.526, 18.8642, 33.5731, 0.0971]",76633,17,4.766420730314271
74L85.003,2,33,66,7,23,"[1, 7, 15]",3.0644,"[0.0556, 2.133, 0.0191]",3239,10,7.505547578645086
74L85.004,4,33,132,21,635,"[1, 21, 78, 185, 350]",163.4128,"[0.0605, 10.521, 43.538, 107.0559, 0.2789]",103931,22,3.885864510001664
74L85.005,1,33,33,1,2,"[1, 1]",1.112,"[0.0471, 0.0173]",1371,1,1.7985611510791366
74L85.006,1,33,33,7,8,"[1, 7]",0.6412,"[0.0481, 0.0254]",1144,7,12.476606363069246
74L85.007,2,33,66,10,11,"[1, 10]",0.7119,"[0.0409, 0.0392]",1138,9,15.451608371962354
74L85.008,3,33,99,13,40,"[1, 13, 21, 5]",4.0228,"[0.0407, 1.9696, 1.3049, 0.0081]",2120,18,9.943323058566172
74L85.009,2,33,66,7,23,"[1, 7, 15]",2.1747,"[0.0409, 1.5081, 0.0301]",1803,10,10.576171425943809
74L85.010,5,33,165,25,48933,"[1, 25, 300, 2177, 10148, 36282]",5815.0866,"[0.0436, 20.3921, 189.6152, 892.7841, 4660.432, 22.9479]",511144,98,8.414835988856986
74L85.011,4,33,132,12,585,"[1, 12, 66, 175, 331]",60.7392,"[0.0672, 6.2435, 17.1984, 35.2519, 0.1633]",92448,13,9.631341868183974
74L85.012,5,33,165,22,28531,"[1, 22, 231, 1408, 6170, 20699]",2889.4484,"[0.0823, 18.1457, 123.9701, 529.988, 2195.6318, 7.3151]",413008,22,9.874202979364503
74L85.013,4,33,132,15,1579,"[1, 15, 105, 430, 1028]",148.1888,"[0.0977, 7.9062, 34.9306, 103.0603, 0.2999]",106984,70,10.65532617849662
74L85.014,6,33,198,21,25972,"[1, 21, 210, 1138, 3159, 7506, 13937]",3681.014,"[0.0509, 14.5885, 95.4885, 348.7166, 958.1924, 2249.1381, 2.5891]",347065,181,7.0556645532997155
74L85.015,6,33,198,20,28908,"[1, 20, 190, 1060, 3436, 8471, 15730]",3912.2371,"[0.0469, 12.6667, 86.2564, 340.3995, 960.6788, 2496.6834, 2.5881]",359263,110,7.389122709357263
74L85.016,2,33,66,14,106,"[1, 14, 91]",8.4168,"[0.117, 7.1943, 0.0488]",19772,49,12.59385989924912
74L85.017,5,33,165,20,16956,"[1, 20, 190, 1024, 3968, 11753]",1591.5802,"[0.0324, 12.6582, 82.0606, 358.4992, 1128.3619, 2.1313]",329995,21,10.653563043822736
74L85.018,5,33,165,15,1633,"[1, 15, 105, 293, 520, 699]",214.3498,"[0.0519, 7.6972, 29.8053, 67.9756, 107.0461, 0.0983]",132106,39,7.6183882606841715
74L85.019,3,33,99,11,187,"[1, 11, 55, 120]",15.9399,"[0.0161, 4.365, 10.6419, 0.0161]",64513,9,11.731566697407136
74L85.020,7,33,231,19,61463,"[1, 19, 171, 969, 3720, 9729, 18825, 28029]",12379.4169,"[0.018, 11.7812, 74.904, 305.8132, 973.312, 2998.0026, 7984.6994, 5.6772]",352802,239,4.9649349800958715
74L85.021,4,33,132,15,1833,"[1, 15, 105, 455, 1257]",168.9152,"[0.0214, 8.5127, 39.3316, 119.2983, 0.1688]",112330,42,10.851598908801575
74L85.022,9,33,297,26,136063,"[1, 26, 325, 2600, 14161, 56665, 177601, 20505]",300013.2437,"[0.0197, 20.6486, 188.9221, 1166.2256, 7249.8975, 99741.3564, 191541.1879]",668191,233,0.45352331224436543
74L85.023,9,33,297,26,137633,"[1, 26, 325, 2600, 14499, 59768, 192436, 13019]",300002.2386,"[0.0516, 19.7164, 184.259, 1127.7802, 7408.0667, 121256.6177, 169894.7217]",590196,158,0.45877324330072516
74L85.024,3,33,99,15,576,"[1, 15, 105, 455]",44.4989,"[0.1079, 8.3466, 34.7132, 0.1221]",41555,49,12.94414019222947
74L85.025,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",24015.7036,"[0.0179, 15.1181, 125.5827, 663.4449, 3179.5642, 19967.9982, 17.8188]",461655,298,4.753681253794288
74L85.026,9,33,297,25,126900,"[1, 25, 300, 2300, 12039, 46950, 146132, 30022]",300006.0,"[0.0354, 18.0187, 164.876, 985.0139, 5947.4602, 63287.947, 229513.0107]",645137,210,0.4229915401691966
74L85.027,5,33,165,14,2829,"[1, 14, 91, 364, 857, 1502]",309.1594,"[0.1109, 7.3366, 29.2749, 95.4852, 173.7656, 0.2966]",149192,30,9.150619389221223
