name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.01,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",24406.9508,"[0.9763, 32.1442, 179.2793, 826.5245, 3217.7096, 20058.092, 27.737]",422558,298,4.677479007332616
025.02,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",23642.9317,"[0.1321, 19.0867, 132.3697, 679.1526, 3193.7489, 19547.4664, 22.1595]",440957,298,4.8286312987149556
025.03,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",23031.7901,"[0.1263, 16.6477, 147.2759, 699.9195, 3217.9251, 18882.3893, 20.9019]",481451,298,4.956757573090249
025.04,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",26425.8734,"[0.0274, 16.501, 125.052, 677.5768, 3237.9478, 22304.788, 16.9779]",441385,298,4.320122111839074
025.05,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",24449.6576,"[0.0257, 15.6042, 136.3049, 706.5529, 3231.1635, 20297.5908, 16.3363]",433201,298,4.669308743203014
025.06,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",23020.7294,"[0.025, 15.0118, 131.3571, 651.9361, 3039.3011, 19122.9159, 16.1507]",505688,298,4.959139131360451
025.07,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22291.4899,"[0.0308, 14.5835, 122.3007, 654.2831, 2987.3553, 18447.8488, 16.0396]",521421,298,5.121371452161212
025.08,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21585.2841,"[0.0227, 14.811, 118.4961, 643.0076, 2994.987, 17755.7332, 14.7988]",500237,298,5.288927376221099
025.09,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21748.0416,"[0.02, 14.6151, 121.2295, 640.8499, 3008.4908, 17902.4218, 16.0228]",494379,298,5.249346221592661
025.10,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21396.9583,"[0.0279, 14.829, 124.1785, 637.5215, 2947.244, 17615.4899, 14.8423]",424562,298,5.335477987074453
025.100,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21405.0833,"[0.0223, 14.5814, 119.2372, 642.7923, 3006.1987, 17561.305, 14.8507]",461795,298,5.33345273176302
025.11,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21135.4212,"[0.0316, 14.4918, 125.115, 631.8324, 2946.4482, 17353.853, 20.6768]",471001,298,5.4015010592738975
