name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.01,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22234.6304,"[1.1266, 31.3482, 165.2084, 745.5902, 3048.2861, 18148.9541, 27.0822]",492808,298,5.134468077328599
025.02,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21847.4913,"[0.1511, 20.2462, 131.3395, 646.5391, 3032.9812, 17949.0139, 20.4977]",457022,298,5.225451216909284
025.03,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22012.378,"[0.096, 16.627, 141.3272, 635.9386, 3007.6155, 18150.2904, 15.6973]",439498,298,5.186309266540852
025.04,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22006.1016,"[0.0263, 14.5265, 118.4621, 640.3218, 3010.4737, 18156.3456, 19.0586]",439570,298,5.187788463177867
025.05,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21949.0308,"[0.0232, 14.2692, 121.2462, 644.7676, 3021.7276, 18085.5622, 17.2717]",510964,298,5.201277497865646
025.06,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21909.3172,"[0.0253, 14.9911, 118.6825, 639.5211, 2997.4843, 18075.4904, 17.6698]",457888,298,5.2107055166465885
025.07,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21899.8172,"[0.0355, 15.2551, 120.3778, 640.9294, 3009.2851, 18053.0498, 15.7862]",439170,298,5.212965887222109
025.08,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21959.2064,"[0.0344, 14.2416, 120.5739, 644.8523, 3012.9207, 18106.3091, 15.6135]",490788,298,5.198867296042174
025.09,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22055.0797,"[0.0227, 14.8503, 122.1998, 649.8269, 3001.462, 18205.747, 15.9103]",499018,298,5.176267850893326
025.10,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22040.1206,"[0.0202, 14.7493, 125.0128, 649.2431, 3018.5734, 18172.5558, 15.6714]",474637,298,5.179781094301272
025.11,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22280.2255,"[0.0206, 14.0615, 119.9381, 655.0234, 3024.2136, 18402.539, 17.3373]",518207,298,5.123960706771123
025.12,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22096.4364,"[0.0351, 15.2223, 144.5411, 666.8254, 3049.5301, 18158.1468, 16.8145]",449730,298,5.166579711468769
025.13,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22198.1971,"[0.0567, 15.5996, 123.8612, 645.7859, 3056.2403, 18296.7825, 15.8493]",474225,298,5.142895140795015
025.14,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22127.8505,"[0.0167, 14.4007, 124.7487, 642.5506, 3038.6209, 18247.8656, 15.7845]",469859,298,5.159244907226754
025.15,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22038.1224,"[0.016, 14.8847, 123.0203, 645.8365, 3039.8782, 18151.5935, 16.016]",488161,298,5.180250745862089
025.16,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22030.2762,"[0.0141, 14.6652, 122.2722, 657.7409, 3037.4505, 18138.4368, 15.6862]",494283,298,5.182095719707772
025.17,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21917.125,"[0.014, 14.3169, 121.2516, 650.6844, 3043.1474, 18028.0901, 15.7866]",501480,298,5.2088492445975465
025.18,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21977.0784,"[0.0153, 14.9844, 123.0527, 661.3301, 3027.4978, 18086.3408, 16.1054]",515618,298,5.194639520419603
025.19,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22080.1496,"[0.0151, 14.1162, 122.8386, 655.6797, 3037.8856, 18189.9056, 15.2331]",513075,298,5.170390693367404
